,id,x-coord,y-coord,cluster,title,colors
0,d.4,-75.87523651123047,-1.4097262620925903,29,Emotional Intelligence,"(0.9955879496320674, 0.0, 0.9463241007358653, 1.0)"
1,d.5,63.366180419921875,17.43565559387207,7,Stress Management Balance,"(0.7955870308811486, 1.0, 0.0, 1.0)"
2,d.6,65.11746215820312,17.481592178344727,7,Time Management Productivity,"(0.7955870308811486, 1.0, 0.0, 1.0)"
3,d.7,0.617047905921936,-24.799524307250977,11,Public Speaking,"(0.10073339485104227, 1.0, 0.0, 1.0)"
4,d.8,-56.13198471069336,-34.59955978393555,0,Virtual Team Communication,"(1.0, 0.0, 0.0, 1.0)"
5,d.9,-58.28590774536133,-34.955535888671875,0,Interpersonal Communication,"(1.0, 0.0, 0.0, 1.0)"
6,d.13,-57.30656814575195,-35.892921447753906,0,Cross Cultural Awareness Communication,"(1.0, 0.0, 0.0, 1.0)"
7,d.17,-17.92032241821289,-5.828689098358154,11,Software Engineering,"(0.10073339485104227, 1.0, 0.0, 1.0)"
8,d.33,-55.854637145996094,29.989730834960938,11,Problem Solving Decision Making Fundamentals,"(0.10073339485104227, 1.0, 0.0, 1.0)"
9,d.43,-18.01097869873047,-13.040787696838379,11,Programming,"(0.10073339485104227, 1.0, 0.0, 1.0)"
10,d.50,-15.89609146118164,88.66222381591797,9,General Project Management,"(0.4481602128660953, 1.0, 0.0, 1.0)"
11,d.51,-14.3442964553833,87.52376556396484,9,Project Management Professional Certification Self Study,"(0.4481602128660953, 1.0, 0.0, 1.0)"
12,d.52,65.96162414550781,17.440507888793945,7,Risk Management self study,"(0.7955870308811486, 1.0, 0.0, 1.0)"
13,d.87,-19.978708267211914,-5.100646018981934,11,Software Robustness Testing,"(0.10073339485104227, 1.0, 0.0, 1.0)"
14,p.6,5.760711669921875,-41.00769805908203,11,Safari Online,"(0.10073339485104227, 1.0, 0.0, 1.0)"
15,p.7,-3.0730409622192383,-60.51727294921875,11,Springer,"(0.10073339485104227, 1.0, 0.0, 1.0)"
16,p.9,-70.87541961669922,15.020210266113281,26,Skillport Skillsofts Online Learning Portal Videos eBooks,"(0.5165427279397867, 0.0, 1.0, 1.0)"
17,p.11,-31.033885955810547,29.982101440429688,26,Nokia Learning Development,"(0.5165427279397867, 0.0, 1.0, 1.0)"
