,ID,Title,Description,Objectives,Solutions,Duration
0,d.4,[2854 1994],"[13480 23167 23861 16356  4672 13603 21750 13556 12236 20342 14694 15854
 17443  6722 23858 15869 19905 13497 16248 16001 23075  8796 14105  4196
 18314  9382 21828 16718  4524 19765 21000 12367 12154  8794]","[4934 7714 5826  739 1195 3344 2350 3702 7110 3383 2364 7037 6456  738
 6274 4379  808 7446 7744  661 4744 3329 5830 7725 2421  471 2301 6511
 3342 3225  199 3631 3508 2348 7672 2151 1392 7061 3349 5747 3817 6913
  977  198 3809 7692 7801 7154 7038  593 3178]",,2 hour 35 minutes
1,d.5,[ 771 3323 5386],"[13631 11918  8490  4839 11957 20315 11064 21202 20295 10006 17431 19443
 21039 23861 13497  4196 12367]","[ 758 3870 6753 5924 7803 3335  197  800 7188 2387 7110  661 4744 7725
 7061 7692 7801 7038]",,48 minutes.
2,d.6,[4447 5615 3323],"[22985 22804 22983  4084  6931 16486 17406 11904 21014 12396 22822  4655
 21116 14110  5036 13490 13729 21202 20295 19443 21039 23861 23858 13497
  4196 12367]","[ 775 5404 6504 4892 7063  401 5701 7055 2433 3330 4383  603 1231 5475
 7712 7087 6592 2190 1007 3276 3031  223 2856 4776 7804 7640 6581 7499
 3563 5124  908 7410 7803  197  800 7188 2387 7714 3702 7110 6456 4379
  661 4744 7725  471 7672 7061 3349  977 7692 7801 7038]",,"1 hour, 36 minutes"
3,d.7,[5256 4545],"[  662 15830 15990 21941  4970 20280  4571  8893 13552 15242 20743 17597
 19994 18293 10547 11112  7171  5682  5029 22975  6655  8154 14132 16042
 23038 19771 19997 17594 10704 11123 22413 16118  9535  8673  4572 13702
 22231 17289 10608 15167 21994 14739 23204  5480 21208 12396 13490 11918
 11957 21202 19443 21039 23861 13603 21750 14694 15854 23858 23075  4196
 19765 21000 12367]","[5319 6723 5188 6642 3427 6732 3707 6726 7504 3409 7233  838  494 4964
 5637 2110 1914 6346 5610 3127  680  690  444 5788 6968  691 1547 1975
 6588 3036 6088  778 3014 5350 7673 4216 6590 7771 6703 6293 3723 6578
 5586 6775  343 2856 7640 7410 7803 7714 7110 4744  471 7692 7801 7038]",,"4 hours, 30 min"
4,d.8,[1395 5539 5897],"[20878 14103 11991  8618 11210 19908 17523  8979 22405  4162 23160  5994
  3782  2724 18748  6464 20362 19981  7171 11904 11918 21202 21039 23167
 15854  4196 21000]","[1439 2516  667  829 3278 2765 2168 2916 7271 6440 3015 7140 1355  843
 4536 6832  959 6959 3018 5103 6957 7520 1336 1385 6953 1387  772 7482
 5741  444 7410 3335 7110 4744  471 3225 3631 1392 7061 3349 5747 3817
 6913  977  198 3809 7692 7801 7154 7038  593 3178]",,Maximum 5 hours.
5,d.9,[2872 1395],"[17074 19467 14073 20998 14391  6074 18218 21448  6995 22842  7837  6510
  4981 16712 23008 21822  6515 12216 11210  8979 19771 10704 11123  5480
 11918 21202 23861 23858 23075  4196 21000]","[1383  615 6748 1544 6193  608 1163 1381 1389 2298 7064 3606 4944 5702
  195 2412 7271  959 1385  690 1547 7803 4934 7714 7110 7037 4744  471
 3225 1392 7061 3349 5747 3817 6913  977  198 3809 7692 7801 7154 7038
  593 3178]",,Maximum 4 hours.
6,d.13,[ 606  748 1623 1559 1395],"[ 5255 22362  8119  6933  6519  7152  3718  8870 21026 21013  4146 19680
  4820  7149 10165 11457 13813 20355  9768 20998 22842  7837  6510 16712
 12396 11918 21202 21039 13603 21750 13556 12236 20342 14694 15854 17443
  6722 23858 15869 13497  4196  4524 12367]","[2099 2100 1788 1753 1794 1610 3962 3185 1792 7455 5743 2256 1789 7335
 2298 1385  772 6732 1914 2856  908 7714 7110 4744  471 1392 7061 3349
 5747 3817 6913  977  198 3809 7692 7801 7154 7038  593 3178]",,Maximum 4 hours
7,d.17,[2018 5225],"[16247  6392 17217 19576 21249 20012  7945 10802  7535 16699 12168 17143
 14191  4094 12718 18489  6543 19775 16560 10226 17993 11940  8472  6516
  7042 14096 17448  3924 19915 17365 17951  6413 11237  7687  5905 22011
 20892 17439 20965  7737  6186  8901 19893  5255 22362  8119  6933  6519
  7149 20998  8893 13552  5682  5029 19771 16118 22985  4084 21116 11918
 21202 10006 17431 19443 21039 23861 13603 21750 13556 12236 20342 14694
 15854 17443  6722 23858 15869 13497 23075  4196 21000 12367]","[ 780 2064  359 4021 5505 2950 5317 7024 2063 6515 4620 7336 1459 3004
  411 5496 1788 1753 1385 6088 7087 7110 4744  471 7061 3817 6913 7692
 7801]",,33:54 hours
8,d.33,[2349 3320 1716 5233 4435  606],"[20363  7026 13010  4868  7515 19830  4102  7561  5773 18923 21241 14082
  7513 10240 18715  5532 20206 19915 17365 20892  6519 11457 14073 19908
 15990 10547 23038 13490 11918 21202 21039 15854 23858  4196 21000]","[1927 6730 4010 7059 4857 5433 6541  420 5420 1076 6054 5417 2897 4013
 1924 6550 5416 7053 2950 2856 7110 4744  471 1392 7061 3349 5747 3817
 6913  977  198 3809 7692 7801 7154 7038  593]",,3 hour 52 minutes
9,d.43,[4458 6005],"[12407  4504 19412  9386  3980 17142 19509 10769 12569  7102 23507 11525
 22903 16247  6392 17217 19576 21249 20012  7945 10802  7535 16699 12168
 17143 14191  4094 12718 18489  6543 19775 16560 10226 17993 11940  8472
 17439  7737  6186 19893  5255 22362  8119  6933  6519 20998  8893  5682
  5029 19771 16118 22985  4084 11918 21202 10006 17431 19443 21039 23861
 13603 21750 13556 12236 20342 14694 15854 17443  6722 23858 15869 13497
 23075 21000 12367]","[3674 7776 1783 3234 6804 3763 3996 7424  521 7653 2058 2148  615 7110
  471 3225 3809]",,"Up to 17 hours, depending on your level of expertise"
